id,user_id,in_out,punch_time
192,HDwYfNlJmtan,in,2024-03-25 14:06:22.197682
193,104335609,in,2024-03-25 14:08:05.798082
194,IZECofnKYlj0LN1,in,2024-03-25 14:17:33.065814
195,104335603,in,2024-03-25 14:26:37.057799
196,VndK4JUQJTMXHuY,in,2024-03-25 14:40:43.752983
197,poW0XOjBvwM7GQk,out,2024-03-25 17:44:23.297686
198,poW0XOjBvwM7GQk,in,2024-03-25 18:57:24.838586
199,20451088,out,2024-03-25 19:16:08.347356
200,IZECofnKYlj0LN1,out,2024-03-25 20:29:31.36191
201,20304885,in,2024-03-26 02:19:41.969623
202,20304885,in,2024-03-26 02:28:35.966912
203,20304885,in,2024-03-26 02:31:03.726025
204,20304885,in,2024-03-26 02:31:17.976053
205,20304885,in,2024-03-26 02:50:31.876264
